25	16	
16	16	
10	17	
5	16	
0	16	
-1	16	
-3	13	
-4	14	
-4	11	
-6	10	
-4	7	
-3	5	
-3	7	
-4	5	
-1	6	
-1	5	
1	7	
3	7	
3	8	
6	10	
6	9	
8	12	
10	11	
12	13	
15	14	
17	12	
21	10	
27	5	
36	-3	
46	-12	
56	-20	
68	-30	
79	-41	
89	-49	
93	-58	
95	-64	
95	-65	
86	-63	
75	-53	
58	-40	
41	-27	
23	-10	
1	7	
-15	23	
-27	38	
-36	55	
-44	66	
-45	74	
-44	80	
-40	82	
-36	85	
-33	84	
-27	81	
-24	77	
-25	72	
-24	64	
-25	55	
-28	47	
-31	36	
-35	22	
-36	11	
-38	-4	
-36	-15	
-37	-25	
-35	-34	
-35	-40	
-36	-45	
-35	-47	
-35	-48	
-35	-44	
-36	-42	
-38	-37	
-42	-30	
-45	-26	
-45	-19	
-45	-13	
-44	-7	
-42	-1	
-41	4	
-38	10	
-35	13	
-30	17	
-26	20	
-22	23	
-21	26	
-20	25	
-17	25	
-16	23	
-16	19	
-14	15	
-17	11	
-19	8	
-21	1	
-22	-4	
-22	-10	
-24	-15	
-25	-17	
-28	-21	
-28	-21	
-31	-23	
-30	-24	
-28	-24	
-27	-23	
-24	-21	
-22	-20	
-19	-18	
-17	-18	
-14	-18	
-11	-15	
-9	-14	
-7	-12	
-7	-11	
-8	-11	
-10	-10	
-15	-12	
-16	-10	
-18	-11	
-17	-10	
-12	-14	
-7	-19	
2	-23	
12	-31	
25	-38	
37	-47	
51	-54	
61	-63	
68	-71	
71	-77	
64	-80	
56	-79	
43	-75	
25	-68	
6	-56	
-13	-42	
-31	-27	
-45	-11	
-57	5	
-64	21	
-66	31	
-65	43	
-63	49	
-58	55	
-51	58	
-46	54	
-39	53	
-36	47	
-31	41	
-28	32	
-26	26	
-23	16	
-22	6	
-18	-5	
-16	-18	
-13	-27	
-10	-38	
-8	-48	
-6	-55	
-7	-62	
-8	-68	
-12	-71	
-14	-73	
-17	-71	
-20	-69	
-19	-64	
-21	-60	
-21	-53	
-20	-45	
-18	-38	
-13	-28	
-5	-21	
3	-14	
11	-9	
18	-5	
21	-2	
25	-1	
30	-1	
32	-4	
36	-5	
38	-8	
36	-12	
35	-13	
33	-15	
31	-15	
32	-15	
30	-14	
28	-12	
26	-11	
21	-9	
20	-8	
18	-6	
16	-3	
12	-3	
10	-1	
5	0	
1	1	
-4	4	
-10	5	
-13	6	
-25	5	
-34	5	
-44	1	
-53	-3	
-61	-6	
-71	-10	
-71	-12	
-69	-19	
-62	-24	
-50	-27	
-32	-32	
-9	-34	
13	-36	
36	-32	
56	-32	
78	-33	
88	-32	
90	-30	
87	-26	
73	-23	
55	-14	
32	-6	
7	1	
-14	8	
-35	15	
-52	25	
-62	33	
-64	40	
-62	50	
-56	52	
-44	54	
-34	52	
-18	52	
-7	49	
3	45	
10	40	
11	31	
10	25	
7	14	
4	8	
-1	0	
-5	-8	
-13	-15	
-21	-23	
-28	-31	
-34	-35	
-39	-38	
-44	-40	
-50	-42	
